rs_id,qi_id,rs_name,qi_name,rs_filename,qi_filename,same_filename
72088,13831,"Ontwerptekening voor menuhouder Gioconda","P2004/1/1235 - Tekening 6587 menuhouder Gioconda",p0400101235.tif,p0400101235.jpg,X
72084,13783,"Ontwerptekening voor koffieservies Enée","P2004/1/321 - Tekening 2724 koffie- en melkkan Enée",p0400100321.tif,p040010032101.jpg,
111421,26971,"KLUIS_D13_1032 -Diamand_Witwas_NED","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","KLUIS_D13_1032 -Diamand_Witwas_NED_LOGO.mp4",u9702001.jpg,
110633,13173,"Ontwerptekening voor kandelaber Mirador","P2004/1/2999 - Tekening 9524 driearmige kandelaar Mirador",P0400102999.tif,p040010299901.jpg,
109266,13732,"Ontwerptekening voor handspiegel Mikado","P2004/1/1632 - Drawing hand mirror Mikado, Tekening handspiegel Mikado",P0400101632.tif,p0400101632.jpg,X
109446,13743,"Ontwerptekening voor schotel Gioconda Sb 4231/2b","P2004/1/1812 - Tekening schotel Gioconda",P0400101812.tif,p0400101812.jpg,X
109443,13830,"Ontwerptekening voor theezeef met bak Jade","P2004/1/1809 - Tekening 7590 theezeef Jade",P0400101809.tif,p0400101809.jpg,X
108766,13731,"Ontwerptekening voor lepelvaas Mikado","P2004/1/1132 - Tekening lepelbakje Mikado",P0400101132.tif,p0400101132.jpg,X
108668,13781,"Ontwerptekening voor waterkan Claire Nelly Pd 3","P2004/1/1034 - Tekening 6304 waterkan Pd3 Claire-Nelly",P0400101034.tif,p040010103401.jpg,
127052,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0090.tif,u9702001.jpg,
110924,14704,"Ring Leopold I geschonken aan Gerard Waefelaer","B512/10/1 - Bague donnée par Léopold Ier à Gérard Waefelaer, Ring Leopold I donated to Gérard Waefelaer, Ring Leopold I geschonken aan Gerard Waefelaer",B51201001_01.tif,b51201001-01.jpg,
124990,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_1049.tiff,u9702001.jpg,
114755,14089,"Ontwerptekening voor kroon Mariabeeld","P2013/3/89A - Design for sceptre of an Our Lady statue N°44, Dessin d'un sceptre du statue de Notre Dame N°44, Ontwerptekening voor scepter Mariabeeld N°44",P13003089B.TIF,p13003089a.jpg,
124979,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0754.tiff,u9702001.jpg,
127056,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0105.tiff,u9702001.jpg,
127077,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0096_2.tif,u9702001.jpg,
127044,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A3182.jpg,u9702001.jpg,
124968,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0390.tif,u9702001.jpg,
124987,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0922.tif,u9702001.jpg,
124950,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0219.tif,u9702001.jpg,
127067,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0153.tiff,u9702001.jpg,
127034,1745,Koffiekan,"S59/1 - Cafetière, Coffeepot, Kaffeekanne, Koffiekan",U5900101.tif,s5900102.jpg,
109286,13760,"Ontwerptekening voor sauskom","P2004/1/1652 - Tekening sauskom Digitale",P0400101652.tif,p0400101652.jpg,X
109078,13727,"Ontwerptekening voor suikerpot Louis XV","P2004/1/1444 - Tekening suikerpot Louis XV",P0400101444.tif,p0400101444.jpg,X
127045,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A3283.jpg,u9702001.jpg,
124988,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_1011.tif,u9702001.jpg,
124965,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0351.tif,u9702001.jpg,
124964,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0341.tif,u9702001.jpg,
124947,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0195.tif,u9702001.jpg,
127063,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0142.tiff,u9702001.jpg,
137007,12007,,"S2006/64 - Komfoor",U06064005.tif,s0606401.jpg,
117939,14143,"Art Nouveau haarkam","DMK95/2 - Art Nouveau comb, Art Nouveau haarkam, Peigne à cheveux art nouveau",DMK95002_06.tif,dmk95002-03-gespiegeld.jpg,
107374,28271,"Ontwerptekening voor juwelen","B512/22/10 - Design for jewels, Ontwerptekening voor juwelen",B51202210_01.tif,,
103013,28611,Wierookvat,"B566/1 - Diamant, Diamond",B566001_M01.tif,,
127041,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A2893.jpg,u9702001.jpg,
127039,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A2711.jpg,u9702001.jpg,
124963,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0330.tiff,u9702001.jpg,
124961,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0327.tiff,u9702001.jpg,
124952,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0234.tif,u9702001.jpg,
124948,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0198.tif,u9702001.jpg,
127070,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0159.tiff,u9702001.jpg,
127059,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0117.tiff,u9702001.jpg,
127074,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0102_2.tif,u9702001.jpg,
127053,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0093.tiff,u9702001.jpg,
118072,14027,"Art Nouveau hanger","S87/39 - Art Nouveau hanger, Art Nouveau pendant, Pendentif Art Nouveau",S87039_05.tif,s8703902.jpg,
114694,13990,"Ontwerptekening ciborie N°59","P2013/3/38 - Design for ciborium N°59, Dessin du ciboire N°59, Ontwerptekening ciborie N°59",P13003038.TIF,p13003038.jpg,X
135860,26971,"Foto conditiecheck kerncollectie","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",©Ana_Izamska_AIZ1999_00001.jpg,u9702001.jpg,
127046,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A3378.jpg,u9702001.jpg,
127043,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A3070.jpg,u9702001.jpg,
124975,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0584.tiff,u9702001.jpg,
124974,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0560.tif,u9702001.jpg,
124967,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0372.tif,u9702001.jpg,
124960,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0324.tiff,u9702001.jpg,
124956,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0254.tif,u9702001.jpg,
124955,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0251.tif,u9702001.jpg,
124953,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0238.tif,u9702001.jpg,
127069,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","20210310_0159 Panorama.tif",u9702001.jpg,
127066,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0150.tiff,u9702001.jpg,
127076,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0144_2.tif,u9702001.jpg,
127062,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0138.tiff,u9702001.jpg,
127060,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0132.tiff,u9702001.jpg,
127057,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0108.tiff,u9702001.jpg,
136678,11967,,"S2006/19 - Coffee spoon, Koffielepel",S0601901.tif,s0601901-1.jpg,
131861,1807,Molenbeker,"S67/51 - Gobelet à moulin, Molenbeker, Mühlenbecher, Windmill cup",S6705101test.tif,s6705101.jpg,
130478,26971,"Illustratie van een diamantslijpsel","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",briljant.jpg,u9702001.jpg,
127035,1745,Koffiekan,"S59/1 - Cafetière, Coffeepot, Kaffeekanne, Koffiekan",U5900102.tif,s5900102.jpg,
124192,26971,"Vlaanderen DJ land: WOEFBASS bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210226_Vlaanderen_DJ_land_WOEFBASS_DIVA.mp4,u9702001.jpg,
118219,13464,"Tafelmiddenstuk Ondine","B512/4 - Table centrepiece Ondine, Tafelmiddenstuk Ondine",B512004_01.tif,b5120402.jpg,
114702,13996,"Ontwerptekening deksel ciborie N°36 'Geloof, Hoop en Liefde'","P2013/3/43 - Design for lid of ciborium N°36 'Belief, Hope and Love', Dessin du couvercle d'un ciboire N°36 'Foi, Espoir et Amour', Ontwerptekening deksel ciborie N°36 'Geloof, Hoop en Liefde'",P13003043.TIF,p13003043.jpg,X
110911,14704,"Ring Leopold I geschonken aan Gerard Waefelaer","B512/10/1 - Bague donnée par Léopold Ier à Gérard Waefelaer, Ring Leopold I donated to Gérard Waefelaer, Ring Leopold I geschonken aan Gerard Waefelaer",B51201001_02.tif,b51201001-01.jpg,
102689,28361,"Broche of hanger","S2018/10 - Broche of hanger, Brooch or pendant",S18010_01.tif,s2018010-img-1009.jpg,
50020,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",DMKXX06.pdf,u9702001.jpg,
140486,3232,Voelen,"S99/13 - Beertje met zilveren harnas, Voelen",S9901302.tif,s9901301.jpg,
135864,26971,"Foto conditiecheck kerncollectie","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",©Ana_Izamska_AIZ2019_00001.jpg,u9702001.jpg,
135856,26971,"Foto conditiecheck kerncollectie","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",©Ana_Izamska_AIZ1986_00001.jpg,u9702001.jpg,
128183,26971,"Foto DIVA Antwerpen","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","Landscape Antwerpen DIVA (12).jpg",u9702001.jpg,
127047,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A3458.jpg,u9702001.jpg,
124976,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0589.tif,u9702001.jpg,
124957,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0257.tif,u9702001.jpg,
124954,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0250.tif,u9702001.jpg,
124949,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0213.tif,u9702001.jpg,
124946,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0186.tif,u9702001.jpg,
127065,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0147.tiff,u9702001.jpg,
127061,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0135.tiff,u9702001.jpg,
127058,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0114.tiff,u9702001.jpg,
127054,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0096.tiff,u9702001.jpg,
111838,2486,"Vier gelegenheidslepels 'Sint-Pieters Brugge'","S95/31 - Four commemorative spoons 'Sint-Pieters Brugge', Quatre cuillères commémoratives 'Sint-Pieters Brugge', Vier Festlöffel 'Sint-Pieters Brugge', Vier gelegenheidslepels 'Sint-Pieters Brugge'",S95031_02_02.tif,s9503101.jpg,
136677,11965,,"S2006/18 - Coffee spoon, Koffielepel",S0601801.tif,u0601801.jpg,
130492,26971,"Illustratie van een diamantslijpsel","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",antwerpseroos.jpg,u9702001.jpg,
114766,14099,"Ontwerptekening voor broederschapsstaf","P2013/3/99 - Design for brotherhood staff, Dessin du bâton de confrérie, Ontwerptekening voor broederschapsstaf",P13003099.TIF,p13003099.jpg,X
114763,14096,"Ontwerptekening voor broederschapsstaf 'O.L.V. van de schapulier’","P2013/3/96 - Design for brotherhood staff 'Our Lady of the scapular', Dessin du bâton de confrérie 'Notre-Dame du scapulaire', Ontwerptekening voor broederschapsstaf 'O.L.V. van de schapulier'",P13003096.TIF,p13003096.jpg,X
114696,13954,"Ontwerptekening stralenmonstrans N°2","P2013/3/3A - Design for sunburst monstrance N°2, Dessin de l'ostensoir-soleil N°2, Ontwerptekening stralenmonstrans N°2",P13003003B.TIF,p13003003b.jpg,X
114693,13989,"Ontwerptekening ciborie N°55 'Sint-Franciscus'","P2013/3/37 - Design for ciborium N°55 'Saint Francis', Dessin du ciboire N°55 'Saint François', Ontwerptekening ciborie N°55 'Sint-Franciscus'",P13003037.TIF,p13003037.jpg,X
111665,2976,"Stuipenpaternoster of Fraiskette","S1422 - Chapelet de convulsions ou Fraiskette, Convulsion paternoster or Fraiskette, Rosenkrankz oder Fraiskette, Stuipenpaternoster of Fraiskette",S1422_08.tif,as142201-1.jpg,
109812,13785,"Ontwerptekening voor kandelaber Hercule","P2004/1/2178 - Tekening 8026 kandelaber Hercule",P0400102178.tif,p040010217801.jpg,
108759,13730,"Ontwerptekening voor lepelvaas Micado","P2004/1/1125 - Tekening lepelbakje Mikado",P0400101125.tif,p0400101125.jpg,X
107375,28271,"Ontwerptekening voor juwelen","B512/22/10 - Design for jewels, Ontwerptekening voor juwelen",B51202210_02.tif,,
102613,28611,Wierookvat,"B566/1 - Diamant, Diamond",B566001_02.tif,,
102612,28611,Wierookvat,"B566/1 - Diamant, Diamond",B566001_01.tif,,
135861,26971,"Foto conditiecheck kerncollectie","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",©Ana_Izamska_AIZ2010_00001.jpg,u9702001.jpg,
135803,26971,"Familie op bezoek bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",Diva_sigridspinnox-69-mama.jpg,u9702001.jpg,
127042,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A2986.jpg,u9702001.jpg,
127040,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A2812.jpg,u9702001.jpg,
127038,26971,,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",ans_brys_20210407_16A2638.jpg,u9702001.jpg,
124986,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0882.tif,u9702001.jpg,
124984,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0802.tif,u9702001.jpg,
124982,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0762.tif,u9702001.jpg,
124981,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0760.tiff,u9702001.jpg,
124978,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0748.tiff,u9702001.jpg,
124977,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0680.tif,u9702001.jpg,
124973,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0490.tif,u9702001.jpg,
124972,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0445.tif,u9702001.jpg,
124971,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0411.tif,u9702001.jpg,
124970,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0408.tif,u9702001.jpg,
124969,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0400.tif,u9702001.jpg,
124966,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0354.tif,u9702001.jpg,
124959,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0312.tiff,u9702001.jpg,
124958,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0294.tif,u9702001.jpg,
124951,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0225.tif,u9702001.jpg,
124945,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0180.tif,u9702001.jpg,
127068,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0156.tiff,u9702001.jpg,
127064,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0144.tiff,u9702001.jpg,
127055,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0102.tiff,u9702001.jpg,
127071,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0087.tiff,u9702001.jpg,
136338,10912,"Merk van Fleshouder","S2005/29B - Salt, Zoutvat",U05029B1.tif,s0502901.jpg,
131869,3327,"Merk van Plaketten Sint-Elooi","S60/8 - Case, Troonkast",U6000801.tif,t6000803.jpg,
141292,26971,MontalaTest,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",MONTEST0601801.tif,u9702001.jpg,
134855,5912,"Pagina uit schetsboek modelmaker E. & R. Altenloh","P2000/6 - Schetsboek modelmaker E. & R. Altenloh",P00006139.TIF,,
133743,1849,Theepot,"S75/48 - Teapot, Teekanne, Theepot, Théière",S7504801.TIF,s7504801-0377.jpg,
130692,26971,Monstrans,"- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",A885.tif,u9702001.jpg,
130490,26971,"Illustratie van een diamantslijpsel","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",tafelslijpsel.jpg,u9702001.jpg,
130483,26971,"Illustratie van een diamantslijpsel","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","oud dubbelslijpsel.jpg",u9702001.jpg,
122176,5039,"Tuinbeeld: Allegorie van de Nacht","S5069b - Garden statue: Allegory of Night, Tuinbeeld: Allegorie van de Nacht",AS506901.TIF,as506901.jpg,X
118274,2122,Stralenmonstrans,"S70/18 - Ostensoir-soleil, Strahlenmonstranz, Stralenmonstrans, Sunburst monstrance",S70018_15.tif,s7001801-1.jpg,
118221,13464,"Tafelmiddenstuk Ondine","B512/4 - Table centrepiece Ondine, Tafelmiddenstuk Ondine",B512004_03.tif,b5120402.jpg,
114758,14091,"Ontwerptekening voor schoot voor Mariabeeld N°123","P2013/3/91 - Design for an Our Lady statue N°123, Dessin du statue de Notre Dame N°123, Ontwerptekening voor schoot voor Mariabeeld N°123",P13003091.TIF,p13003091.jpg,X
114700,13994,"Ontwerptekening ciborie N°43","P2013/3/41 - Design for ciborium N°43, Dessin du ciboire N°43, Ontwerptekening ciborie N°43",P13003041.TIF,p13003041.jpg,X
114695,13991,"Ontwerptekening ciborie N°49","P2013/3/39 - Design for ciborium N°49, Dessin du ciboire N°49, Ontwerptekening ciborie N°49",P13003039.TIF,p13003039.jpg,X
114688,13984,"Ontwerptekening ciborie N°79","P2013/3/32 - Design for ciborium N°79, Dessin du ciboire N°79, Ontwerptekening ciborie N°79",P13003032.TIF,p13003032.jpg,X
114687,13983,"Ontwerptekening ciborie N°11","P2013/3/31 - Design for ciborium N°11, Dessin du ciboire N°11, Ontwerptekening ciborie N°11",P13003031.TIF,p13003031.jpg,X
114686,13981,"Ontwerptekening ciborie N°16","P2013/3/30 - Design for ciborium N°16, Dessin du ciboire N°16, Ontwerptekening ciborie N°16",P13003030.TIF,p13003030.jpg,X
114619,14234,"Ontwerptekening voor ampullen en schaal N°17","P2013/3/178 - Design for altar cruet N°17, Ontwerptekening voor ampullen en schaal N°17, Dessin des burettes et du plateau N°17",P13003178.TIF,p13003178.jpg,X
114584,14186,"Ontwerptekening voor processiestaf N°43 'Sint-Jozef'","P2013/3/146 - Design for procession staff N°43 'Saint Joseph', Dessin du bâton de procession N°43 'Saint Joseph', Ontwerptekening voor processiestaf N°43 'Sint-Jozef'",P13003146.TIF,p13003146.jpg,X
114574,14177,"Ontwerptekening voor processiestaf N°26 'Sint-Paulus'","P2013/3/137 - Design for procession staff N°26 'Saint Paul', Dessin du bâton de procession N°26 'Saint Paul', Ontwerptekening voor processiestaf N°26 'Sint-Paulus'",P13003137.TIF,p13003137.jpg,X
114571,14174,"Ontwerptekening voor processiestaf N°24","P2013/3/134 - Design for procession staff N°24, Dessin du bâton de procession N°24, Ontwerptekening voor processiestaf N°24",P13003134.TIF,p13003134.jpg,X
114532,13951,"Ontwerptekening stralenmonstrans N°22 'Geloof en Hoop'","P2013/3/1 - Design for sun monstrance N° 22 'Believe and Hope', Dessin de l'ostensoir-soleil N° 22 'Foi et Espoir', Ontwerptekening stralenmonstrans N°22 'Geloof en Hoop'",P13003001.TIF,p13003001.jpg,X
110916,14704,"Ring Leopold I geschonken aan Gerard Waefelaer","B512/10/1 - Bague donnée par Léopold Ier à Gérard Waefelaer, Ring Leopold I donated to Gérard Waefelaer, Ring Leopold I geschonken aan Gerard Waefelaer",B51201001_M01.tif,b51201001-01.jpg,
110909,14702,"Ring Leopold I in etui geschonken aan Gerard Waefelaer met bijhorende schenkingsbrief","B512/10 - Bague donnée par Léopold Ier à Gérard Waefelaer avec son écrIn et lettre de don , Ring Leopold I in case donated to Gérard Waefelaer including gift letter, Ring Leopold I in etui geschonken aan Gerard Waefelaer met bijhorende schenkingsbrief",B512010_01.tif,b512010-01.jpg,
107373,28269,"Ontwerptekening voor takbroches en houder voor portretminiatuur","B512/22/9 - Design for spray brooches and frame for portrait miniature, Ontwerptekening voor takbroches en houder voor portretminiatuur",B51202209_01.tif,,
135848,26971,"Familie op bezoek bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",Diva_sigridspinnox-74.jpg,u9702001.jpg,
135802,26971,"Familie op bezoek bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",Diva_sigridspinnox-63-mama.jpg,u9702001.jpg,
128182,26971,"Foto DIVA Antwerpen","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","Landscape Antwerpen DIVA (11).jpg",u9702001.jpg,
124989,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_1043.tif,u9702001.jpg,
124985,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0862.tif,u9702001.jpg,
